group,model,beta,lr,seed,A,B,C,dirname,final_loss,loss_step50,accuracy,total_steps,total_time,Y1_loss,Y2_reduction,Y3_auc,Y1_log_loss
DS-0.1-lr1,DeepSleep,0.1,5e-07,42,-1,-1,-1,ds_b0.1_s42,0.020675,0.4973931312561035,1.0,492,0.15,0.020675,0.9584332820443501,0.14652994272143188,-1.6845544817754157
DS-0.1-lr1,DeepSleep,0.1,5e-07,123,-1,-1,-1,ds_b0.1_s123,0.061375,0.4299757182598114,1.0,492,0.2,0.061375,0.8572593814171748,0.1020863352183303,-1.212008494868975
DS-0.1-lr1,DeepSleep,0.1,5e-07,7,-1,-1,-1,ds_b0.1_s7,0.040439,0.36257675290107727,1.0,492,0.15,0.040439,0.8884677528924942,0.07983917056907357,-1.3931995924443306
DS-0.5-lr1,DeepSleep,0.5,5e-07,42,-1,1,-1,ds_b0.5_s42,5.3e-05,0.18608739972114563,1.0,492,0.19,5.3e-05,0.9997151875942196,0.02892297052365319,-4.275724130399211
DS-0.5-lr1,DeepSleep,0.5,5e-07,123,-1,1,-1,ds_b0.5_s123,0.001165,0.12606237828731537,1.0,492,0.14,0.001165,0.990758543382826,0.009488115433352125,-2.9336740746379624
DS-0.5-lr1,DeepSleep,0.5,5e-07,7,-1,1,-1,ds_b0.5_s7,0.000593,0.02171442285180092,1.0,492,0.14,0.000593,0.972690961945101,0.005932896805659033,-3.2269453066357374
QW-0.1-lr1,Qwen,0.1,5e-07,42,1,-1,-1,qwen_b0.1_s42,5e-06,0.4382908344268799,1.0,983,0.16,5e-06,0.999988592049828,0.027342855145279198,-5.301029995663981
QW-0.1-lr1,Qwen,0.1,5e-07,123,1,-1,-1,qwen_b0.1_s123,0.0,0.3940012454986572,1.0,983,0.16,0.0,1.0,0.027657833962051716,-10.0
QW-0.1-lr1,Qwen,0.1,5e-07,7,1,-1,-1,qwen_b0.1_s7,8e-06,0.5448811054229736,1.0,983,0.25,8e-06,0.9999853178979407,0.03176850661571672,-5.096910013008056
QW-0.5-lr1,Qwen,0.5,5e-07,42,1,1,-1,qwen_b0.5_s42,0.0,0.02260652929544449,1.0,400,0.07,0.0,1.0,0.0018578870092379619,-10.0
QW-0.5-lr1,Qwen,0.5,5e-07,123,1,1,-1,qwen_b0.5_s123,7e-06,0.0765174925327301,1.0,250,0.05,7e-06,0.9999085176504314,0.014990740007746695,-5.154901959985743
QW-0.5-lr1,Qwen,0.5,5e-07,7,1,1,-1,qwen_b0.5_s7,0.0,0.4949195384979248,1.0,983,0.16,0.0,1.0,0.013413239328305399,-10.0
DS-0.1-lr2,DeepSleep,0.1,1e-06,42,-1,-1,1,ds_b0.1_lr1e-6_s42,0.001715,0.3818812668323517,1.0,492,0.07,0.001715,0.9955090753358349,0.08353249886525138,-2.7657358756212105
DS-0.1-lr2,DeepSleep,0.1,1e-06,123,-1,-1,1,ds_b0.1_lr1e-6_s123,0.009398,0.2526334822177887,1.0,492,0.06,0.009398,0.9627998635909304,0.03728295901233996,-2.026964559313067
DS-0.1-lr2,DeepSleep,0.1,1e-06,7,-1,-1,1,ds_b0.1_lr1e-6_s7,0.006091,0.19560205936431885,1.0,492,0.06,0.006091,0.9688602460536716,0.02669637085637078,-2.2153114004985786
DS-0.5-lr2,DeepSleep,0.5,1e-06,42,-1,1,1,ds_b0.5_lr1e-6_s42,1e-06,0.08155777305364609,1.0,492,0.06,1e-06,0.9999877387530022,0.012759943983653568,-6.0
DS-0.5-lr2,DeepSleep,0.5,1e-06,123,-1,1,1,ds_b0.5_lr1e-6_s123,3.3e-05,0.00815600622445345,1.0,492,0.06,3.3e-05,0.9959539020579633,0.0007455606128689967,-4.481486060122112
DS-0.5-lr2,DeepSleep,0.5,1e-06,7,-1,1,1,ds_b0.5_lr1e-6_s7,0.000941,0.005428255535662174,1.0,492,0.06,0.000941,0.8266478072342239,0.00576371061349238,-3.026410376572743
QW-0.1-lr2,Qwen,0.1,1e-06,42,1,-1,1,qwen_b0.1_lr1e-6_s42,0.0,0.6864922046661377,1.0,700,0.05,0.0,1.0,0.0496581529430886,-10.0
QW-0.1-lr2,Qwen,0.1,1e-06,123,1,-1,1,qwen_b0.1_lr1e-6_s123,2e-06,0.4289774000644684,1.0,650,0.05,2e-06,0.9999953377497283,0.06524315329888242,-5.698970004336019
QW-0.1-lr2,Qwen,0.1,1e-06,7,1,-1,1,qwen_b0.1_lr1e-6_s7,7.6e-05,0.5560429096221924,1.0,450,0.04,7.6e-05,0.999863319900884,0.13170219997044796,-4.119186407719209
QW-0.5-lr2,Qwen,0.5,1e-06,42,1,1,1,qwen_b0.5_lr1e-6_s42,1.7e-05,0.4515024721622467,1.0,250,0.02,1.7e-05,0.9999623479359513,0.05675894005709381,-4.769551078621726
QW-0.5-lr2,Qwen,0.5,1e-06,123,1,1,1,qwen_b0.5_lr1e-6_s123,0.0,0.16827504336833954,1.0,350,0.03,0.0,1.0,0.02259472171885108,-10.0
QW-0.5-lr2,Qwen,0.5,1e-06,7,1,1,1,qwen_b0.5_lr1e-6_s7,0.0,0.14765585958957672,1.0,450,0.04,0.0,1.0,0.010084593843575863,-10.0
